Baldissero Torinese comune,Baldissero Torinese comune.1
,
Baldissero Torinese – VedutaPanorama del paese,Baldissero Torinese – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Piero Cordero (lista civica) dal 4-10-2021
Territorio,Territorio
Coordinate,45°04′07.09″N 7°48′59.51″E
Altitudine,421 m s.l.m.
Superficie,"15,41 km²"
Abitanti,3 701[1] (30-11-2025)
Densità,"240,17 ab./km²"
Frazioni,"Borgo Nuovo, Rivodora, San Quirico, Tetti Barbasso, Tetti Berruto, Tetti Chiapasso, Tetti Coggiola, Tetti Collo, Tetti Colombaro, Tetti Ghirone, Tetti None, Tetti Pietraforata, Tetti Piola, Tetti Ronchi, Tetti Valentino, Toetto"
Comuni confinanti,"Castiglione Torinese, Chieri, Pavarolo, Pino Torinese, San Mauro Torinese, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001018
Cod. catastale,A591
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 985 GG[3]"
Nome abitanti,baldisseresi
Patrono,san Giuliano
Giorno festivo,28 agosto
Cartografia,Cartografia
Baldissero Torinese,Baldissero Torinese
Baldissero Torinese – MappaLocalizzazione del comune di Baldissero Torinese nella città metropolitana di Torino.,Baldissero Torinese – MappaLocalizzazione del comune di Baldissero Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
