Pomaretto comune,Pomaretto comune.1
,
Pomaretto – VedutaPanorama,Pomaretto – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Danilo Stefano Breusa (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°57′21.54″N 7°10′58″E
Altitudine,630 m s.l.m.
Superficie,"8,56 km²"
Abitanti,936[1] (30-11-2025)
Densità,"109,35 ab./km²"
Comuni confinanti,"Inverso Pinasca, Perosa Argentina, Perrero, Pramollo"
Altre informazioni,Altre informazioni
Cod. postale,10063
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001198
Cod. catastale,G805
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 299 GG[3]"
Nome abitanti,pomarini
Cartografia,Cartografia
Pomaretto,Pomaretto
Pomaretto – MappaLocalizzazione del comune di Pomaretto nella città metropolitana di Torino.,Pomaretto – MappaLocalizzazione del comune di Pomaretto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
