Groscavallo comune,Groscavallo comune.1
,
Groscavallo – VedutaIl paese di Groscavallo con la chiesa parrocchiale,Groscavallo – VedutaIl paese di Groscavallo con la chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giuseppe Giacomelli (lista civica Montagna-turismo-agricoltura) dal 27-5-2019
Territorio,Territorio
Coordinate,45°22′06.59″N 7°15′31.6″E
Altitudine,1 110[1] m s.l.m.
Superficie,"92,09 km²"
Abitanti,183[2] (30-11-2025)
Densità,"1,99 ab./km²"
Frazioni,"Alboni, Bioletto, Bonzo, Borgo, Campo Pietra, Forno Alpi Graie, Migliere, Pialpetta (sede comunale), Ricchiardi, Rivotti"
Comuni confinanti,"Ala di Stura, Balme, Bonneval-sur-Arc (FR-73), Ceresole Reale, Chialamberto, Noasca"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001118
Cod. catastale,E199
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 4 019 GG[4]"
Nome abitanti,groscavallesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Groscavallo,Groscavallo
Groscavallo – MappaLocalizzazione del comune di Groscavallo nella città metropolitana di Torino.,Groscavallo – MappaLocalizzazione del comune di Groscavallo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
