San Gillio comune,San Gillio comune.1
,
San Gillio – VedutaPanorama dalla cresta NE del Musinè,San Gillio – VedutaPanorama dalla cresta NE del Musinè
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Gian Carlo Balbo (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°08′33.89″N 7°32′08.94″E
Altitudine,320 m s.l.m.
Superficie,"8,89 km²"
Abitanti,3 325[1] (30-11-2025)
Densità,"374,02 ab./km²"
Frazioni,"Lago Borgarino, Boggialla"
Comuni confinanti,"Alpignano, Druento, Givoletto, La Cassa, Pianezza, Val della Torre"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001243
Cod. catastale,H873
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 834 GG[3]"
Nome abitanti,sangilliesi
Patrono,sant'Egidio
Giorno festivo,1º settembre
Cartografia,Cartografia
San Gillio,San Gillio
San Gillio – MappaLocalizzazione del comune di San Gillio nella città metropolitana di Torino.,San Gillio – MappaLocalizzazione del comune di San Gillio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
