Novalesa comune,Novalesa comune.1
,
Novalesa – VedutaVeduta,Novalesa – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Michele Pappone (Commissario prefettizio dal 26/01/2026)
Territorio,Territorio
Coordinate,45°11′22.7″N 7°00′55.79″E
Altitudine,"826 (min 682 - max 3,538) m s.l.m."
Superficie,"28,55 km²"
Abitanti,527[1] (30-11-2025)
Densità,"18,46 ab./km²"
Frazioni,"Borgetto, Fraita, Ronelle, San Pietro, San Rocco, Santa Maria, Sant'Anna, Villaretto"
Comuni confinanti,"Bessans (FR-73), Lanslebourg-Mont-Cenis (FR-73), Mompantero, Moncenisio, Usseglio, Venaus"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001169
Cod. catastale,F948
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 596 GG[3]"
Nome abitanti,novalicensi
Cartografia,Cartografia
Novalesa,Novalesa
Novalesa – MappaLocalizzazione del comune di Novalesa nella città metropolitana di Torino.,Novalesa – MappaLocalizzazione del comune di Novalesa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
