Monteu da Po comune,Monteu da Po comune.1
,
Monteu da Po – VedutaIl sito archeologico di Industria.,Monteu da Po – VedutaIl sito archeologico di Industria.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maria Elisa Ghion (lista civica) dal 22-9-2020
Territorio,Territorio
Coordinate,45°09′03.24″N 8°01′00.65″E
Altitudine,177 m s.l.m.
Superficie,"7,39 km²"
Abitanti,827[1] (30-11-2025)
Densità,"111,91 ab./km²"
Frazioni,"Fontananera, Mezzana, San Giovanni, San Rocco"
Comuni confinanti,"Cavagnolo, Lauriano, Verolengo"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001162
Cod. catastale,F651
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 619 GG[3]"
Nome abitanti,montuesi
Patrono,Madonna del Rosario
Cartografia,Cartografia
Monteu da Po,Monteu da Po
Monteu da Po – MappaLocalizzazione del comune di Monteu da Po nella città metropolitana di Torino.,Monteu da Po – MappaLocalizzazione del comune di Monteu da Po nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
