Busano comune,Busano comune.1
,
Busano – Veduta,Busano – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Carlo Vassallo (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°19′45.98″N 7°39′20.64″E
Altitudine,317 m s.l.m.
Superficie,"5,06 km²"
Abitanti,1 578[1] (30-11-2025)
Densità,"311,86 ab./km²"
Frazioni,"Grangiasa, Pomata"
Comuni confinanti,"Barbania, Favria, Front, Oglianico, Rivara, San Ponso, Valperga, Vauda Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001043
Cod. catastale,B284
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 620 GG[3]"
Nome abitanti,busanesi
Patrono,santissimo nome di Maria
Giorno festivo,13 agosto
Cartografia,Cartografia
Busano,Busano
Busano – MappaLocalizzazione del comune di Busano nella città metropolitana di Torino.,Busano – MappaLocalizzazione del comune di Busano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
