Bollengo comune,Bollengo comune.1
,
Bollengo – VedutaIl campanile della chiesa di San Martino,Bollengo – VedutaIl campanile della chiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luigi Sergio Ricca (centro-sinistra) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°28′15.09″N 7°56′31.27″E
Altitudine,255 m s.l.m.
Superficie,"14,22 km²"
Abitanti,2 109[1] (30-11-2025)
Densità,"148,31 ab./km²"
Comuni confinanti,"Albiano d'Ivrea, Azeglio, Burolo, Ivrea, Magnano (BI), Palazzo Canavese, Piverone, Torrazzo (BI)"
Altre informazioni,Altre informazioni
Cod. postale,10012
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001027
Cod. catastale,A941
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 740 GG[3]"
Nome abitanti,bollenghini
Patrono,sant'Eusebio
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Bollengo,Bollengo
Bollengo – MappaLocalizzazione del comune di Bollengo nella città metropolitana di Torino.,Bollengo – MappaLocalizzazione del comune di Bollengo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
