San Didero comune,San Didero comune.1
San Didero – VedutaPanorama del paese,San Didero – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Rebecca shalala (lista civica RinnoviAMO San Didero) dal 09-06-2024
Territorio,Territorio
Coordinate,45°08′07.6″N 7°12′46.84″E
Altitudine,430 m s.l.m.
Superficie,"3,3 km²"
Abitanti,494[1] (30-11-2025)
Densità,"149,7 ab./km²"
Frazioni,"Leitera Inferiore, Leitera Superiore, Mondaniera, Toto, Volpi"
Comuni confinanti,"Borgone Susa, Bruzolo, Condove, San Giorio di Susa, Villar Focchiardo"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001239
Cod. catastale,H820
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 999 GG[3]"
Nome abitanti,sandideresi
Patrono,san Desiderio
Cartografia,Cartografia
San Didero,San Didero
San Didero – MappaLocalizzazione del comune di San Didero nella città metropolitana di Torino.,San Didero – MappaLocalizzazione del comune di San Didero nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
