Fenestrelle comune,Fenestrelle comune.1
,
Fenestrelle – VedutaFenestrelle con sullo sfondo il Forte San Carlo,Fenestrelle – VedutaFenestrelle con sullo sfondo il Forte San Carlo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Michel Bouquet (lista civica) dal 12-6-2017
Territorio,Territorio
Coordinate,45°02′09.94″N 7°02′58.42″E
Altitudine,"1 145 (min 980 - max 3,041) m s.l.m."
Superficie,"49,41 km²"
Abitanti,467[1] (30-11-2025)
Densità,"9,45 ab./km²"
Frazioni,"Champs, Puy, Pequerel, Chambons, Depot, Mentoulles, Granges, Saret, Ville Cloze, La Latta, Fondufaux"
Comuni confinanti,"Massello, Mattie, Meana di Susa, Pragelato, Roure, Usseaux"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001103
Cod. catastale,D532
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 781 GG[3]"
Nome abitanti,fenestrellesi
Patrono,san Luigi IX re di Francia
Giorno festivo,25 agosto
Motto,in Montibus Fortitudo
Cartografia,Cartografia
Fenestrelle,Fenestrelle
Fenestrelle – MappaLocalizzazione del comune di Fenestrelle nella città metropolitana di Torino.,Fenestrelle – MappaLocalizzazione del comune di Fenestrelle nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
