Villastellone comune,Villastellone comune.1
,
Villastellone – Veduta,Villastellone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Francesco Principi (lista civica Insieme per Villastellone) dal 27-5-2019
Territorio,Territorio
Coordinate,44°55′N 7°45′E
Altitudine,234 m s.l.m.
Superficie,"19,88 km²"
Abitanti,4 294[1] (30-11-2025)
Densità,216 ab./km²
Frazioni,"Borgo Cornalese, Cascina Monache, Fontanacervo, Fortepasso, Tetti Mauritti"
Comuni confinanti,"Cambiano, Carignano, Carmagnola, Moncalieri, Poirino, Santena"
Altre informazioni,Altre informazioni
Cod. postale,10029
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001308
Cod. catastale,M027
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 576 GG[3]"
Nome abitanti,Villastellonesi
Patrono,"sant'Anna, san Bartolomeo"
Cartografia,Cartografia
Villastellone,Villastellone
Villastellone – MappaLocalizzazione del comune di Villastellone nella città metropolitana di Torino.,Villastellone – MappaLocalizzazione del comune di Villastellone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
