Brandizzo comune,Brandizzo comune.1
,
Brandizzo – VedutaPanorama aereo di Brandizzo,Brandizzo – VedutaPanorama aereo di Brandizzo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Monica Durante (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°10′35.79″N 7°50′16.81″E
Altitudine,187 m s.l.m.
Superficie,"6,29 km²"
Abitanti,8 770[1] (30-11-2025)
Densità,"1 394,28 ab./km²"
Comuni confinanti,"Chivasso, San Raffaele Cimena, Settimo Torinese, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10032
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001034
Cod. catastale,B121
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 634 GG[3]"
Nome abitanti,brandizzesi
Patrono,san Giacomo
Cartografia,Cartografia
Brandizzo,Brandizzo
Brandizzo – MappaLocalizzazione del comune di Brandizzo nella città metropolitana di Torino.,Brandizzo – MappaLocalizzazione del comune di Brandizzo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
