Monastero di Lanzo comune,Monastero di Lanzo comune.1
,
Monastero di Lanzo – VedutaLa chiesa parrocchiale,Monastero di Lanzo – VedutaLa chiesa parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Maurizio Togliatti (lista civica Valori e territorio) dal 27-5-2019
Territorio,Territorio
Coordinate,45°18′06.74″N 7°26′22.85″E
Altitudine,825 m s.l.m.
Superficie,"17,66 km²"
Abitanti,386[1] (30-11-2025)
Densità,"21,86 ab./km²"
Frazioni,"Cà di Savi, Cà di Sciold, Cà di Tuie, Chiaves, Cresto, Fornelli, Marsaglia, Mecca, Menulla, Monastero di Sotto, San Rocco, Sistina, Stabio"
Comuni confinanti,"Cantoira, Ceres, Coassolo Torinese, Lanzo Torinese, Locana, Pessinetto"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001155
Cod. catastale,F327
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 591 GG[3]"
Nome abitanti,monasteresi
Patrono,sant'Anastasia
Giorno festivo,terza domenica di novembre
PIL procapite,(nominale) l
Cartografia,Cartografia
Monastero di Lanzo,Monastero di Lanzo
Monastero di Lanzo – MappaLocalizzazione del comune di Monastero di Lanzo nella città metropolitana di Torino.,Monastero di Lanzo – MappaLocalizzazione del comune di Monastero di Lanzo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
