Frassinetto comune,Frassinetto comune.1
,
Frassinetto – VedutaParrocchia di San Bartolomeo,Frassinetto – VedutaParrocchia di San Bartolomeo
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Pietro Bonatto Marchello (lista civica) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°26′13.71″N 7°36′24.27″E
Altitudine,1 048 m s.l.m.
Superficie,"24,82 km²"
Abitanti,273[1] (30-11-2025)
Densità,11 ab./km²
Frazioni,"Berchiotto (Barciòt), Chiapinetto (Ciapinei), Fraschietto (Fasciei), Molini (Mülen), Tetti (Vì Tet) , Balma, Cereser (Sirisir), Lassere, Pacchiola (Paciola), Gorla, Lupeta (Lüpeta), Truffa (Trüfà), Galli (Vi Gal), Trucco (Trüc)"
Comuni confinanti,"Borgiallo, Castelnuovo Nigra, Chiesanuova, Ingria, Pont Canavese, Traversella"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001108
Cod. catastale,D781
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 826 GG[3]"
Nome abitanti,frassinettesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Frassinetto,Frassinetto
Frassinetto – MappaLocalizzazione del comune di Frassinetto nella città metropolitana di Torino.,Frassinetto – MappaLocalizzazione del comune di Frassinetto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
