Verolengo comune,Verolengo comune.1
,
Verolengo – VedutaParrocchiale S.Giovanni Battista,Verolengo – VedutaParrocchiale S.Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luigi Borasio (lista civica)
Territorio,Territorio
Coordinate,45°11′N 7°58′E
Altitudine,270 m s.l.m.
Superficie,"29,49 km²"
Abitanti,4 779[1] (30-11-2025)
Densità,"162,05 ab./km²"
Frazioni,"Arborea, Borgo Revel, Busignetto, Casabianca, Le Benne, Rolandini, Sbarro Valentino"
Comuni confinanti,"Brusasco, Chivasso, Crescentino (VC), Lauriano, Monteu da Po, Rondissone, Saluggia (VC), San Sebastiano da Po, Torrazza Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10038
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001293
Cod. catastale,L779
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 607 GG[3]"
Nome abitanti,verolenghesi
Patrono,san Giovanni Battista
Giorno festivo,seconda domenica di Settembre
Cartografia,Cartografia
Verolengo,Verolengo
Verolengo – MappaLocalizzazione del comune di Verolengo nella città metropolitana di Torino.,Verolengo – MappaLocalizzazione del comune di Verolengo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
