Vaie comune,Vaie comune.1
,
Vaie – VedutaPanorama dal Truc del Serro,Vaie – VedutaPanorama dal Truc del Serro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Enzo Merini (lista civica) dal 26-5-2014
Territorio,Territorio
Coordinate,45°06′08.42″N 7°17′21.88″E
Altitudine,"381 (min 368 - max 1,484) m s.l.m."
Superficie,"7,23 km²"
Abitanti,1 316[1] (30-11-2025)
Densità,"182,02 ab./km²"
Frazioni,"Folatone, La Mura, Molè"
Comuni confinanti,"Chiusa di San Michele, Coazze, Condove, Sant'Antonino di Susa"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001283
Cod. catastale,L538
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 925 GG[3]"
Nome abitanti,vaiesi
Patrono,santa Margherita
Cartografia,Cartografia
Vaie,Vaie
Vaie – MappaLocalizzazione del comune di Vaie nella città metropolitana di Torino.,Vaie – MappaLocalizzazione del comune di Vaie nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
