Usseglio comune,Usseglio comune.1
,
Usseglio – VedutaDal sentiero che da Margone sale al Rifugio Luigi Cibrario,Usseglio – VedutaDal sentiero che da Margone sale al Rifugio Luigi Cibrario
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Pier Mario Grosso (lista civica Uniti per Usseglio) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°14′N 7°13′E
Altitudine,1 265 (min 1 200 - max 3 566) m s.l.m.
Superficie,"98,54 km²"
Abitanti,177[1] (30-11-2025)
Densità,"1,8 ab./km²"
Frazioni,"Chiaberto, Cortevicio, Crot, Malciaussia, Margone, Perinera, Pian Benot, Pianetto, Piazzette, Quagliera, Villaretto"
Comuni confinanti,"Balme, Bessans (FR-73), Bruzolo, Bussoleno, Chianocco, Condove, Lemie, Mompantero, Novalesa"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001282
Cod. catastale,L516
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 664 GG[3]"
Nome abitanti,ussegliesi
Patrono,Maria Assunta
Giorno festivo,15 agosto
Cartografia,Cartografia
Usseglio,Usseglio
Usseglio – MappaLocalizzazione del comune di Usseglio nella città metropolitana di Torino.,Usseglio – MappaLocalizzazione del comune di Usseglio nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
