Cirié comune,Cirié comune.1
,
Cirié – VedutaChiesa di San Martino,Cirié – VedutaChiesa di San Martino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,"Loredana Devietti Goggia (liste civiche Più Cirié, Cirié nel cuore) dal 19-6-2016 (2º mandato dal 4-10-2021)"
Territorio,Territorio
Coordinate,45°14′07″N 7°36′01.11″E
Altitudine,344 m s.l.m.
Superficie,"17,73 km²"
Abitanti,18 078[1] (30-11-2025)
Densità,"1 019,63 ab./km²"
Frazioni,"16, vedi sezione"
Comuni confinanti,"Nole, Robassomero, San Carlo Canavese, San Maurizio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10073
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001086
Cod. catastale,C722
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 870 GG[3]"
Nome abitanti,ciriacesi
Patrono,san Ciriaco
Giorno festivo,lunedì successivo alla prima domenica d'agosto
Cartografia,Cartografia
Cirié,Cirié
Cirié – MappaLocalizzazione del comune di Cirié nella città metropolitana di Torino.,Cirié – MappaLocalizzazione del comune di Cirié nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
