Vallo Torinese comune,Vallo Torinese comune.1
,
Vallo Torinese – VedutaPanorama,Vallo Torinese – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Alberto Colombatto (lista civica) dal 25-5-2014
Territorio,Territorio
Coordinate,45°13′43.91″N 7°29′10.32″E
Altitudine,508 m s.l.m.
Superficie,"6,08 km²"
Abitanti,782[1] (30-11-2025)
Densità,"128,62 ab./km²"
Frazioni,"Gaiera, Spagna"
Comuni confinanti,"Cafasse, Fiano, Germagnano, Varisella, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001286
Cod. catastale,L629
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 187 GG[3]"
Nome abitanti,vallesi
Patrono,san Secondo
Giorno festivo,26 agosto
Cartografia,Cartografia
Vallo Torinese,Vallo Torinese
Vallo Torinese – MappaLocalizzazione del comune di Vallo Torinese nella città metropolitana di Torino.,Vallo Torinese – MappaLocalizzazione del comune di Vallo Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
