Colleretto Castelnuovo comune,Colleretto Castelnuovo comune.1
,
Colleretto Castelnuovo – VedutaPanorama,Colleretto Castelnuovo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Aldo Querio Gianetto (lista civica Colleretto futura) dal 26-5-2014 (3º mandato dal 9-6-2024)
Territorio,Territorio
Coordinate,45°25′21.92″N 7°40′48.14″E
Altitudine,585 m s.l.m.
Superficie,"6,33 km²"
Abitanti,352[1] (30-11-2025)
Densità,"55,61 ab./km²"
Frazioni,"Castelletto, Cervera, Santa Elisabetta"
Comuni confinanti,"Borgiallo, Castellamonte, Castelnuovo Nigra, Cintano"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001091
Cod. catastale,C867
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 094 GG[3]"
Nome abitanti,collerettesi
Patrono,sant'Antonio abate
Cartografia,Cartografia
Colleretto Castelnuovo,Colleretto Castelnuovo
Colleretto Castelnuovo – MappaLocalizzazione del comune di Colleretto Castelnuovo nella città metropolitana di Torino.,Colleretto Castelnuovo – MappaLocalizzazione del comune di Colleretto Castelnuovo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
