San Giorgio Canavese comune,San Giorgio Canavese comune.1
,
San Giorgio Canavese – VedutaFacciata della Parrocchiale,San Giorgio Canavese – VedutaFacciata della Parrocchiale
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Marco Baudino (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,45°20′02.96″N 7°47′48.55″E
Altitudine,300 m s.l.m.
Superficie,"20,41 km²"
Abitanti,2 483[1] (30-11-2025)
Densità,"121,66 ab./km²"
Frazioni,Cortereggio
Comuni confinanti,"Agliè, Barone Canavese, Caluso, Ciconio, Cuceglio, Feletto, Foglizzo, Lusigliè, Montalenghe, Orio Canavese, Ozegna, San Giusto Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10090
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001244
Cod. catastale,H890
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 594 GG[3]"
Nome abitanti,sangiorgesi
Patrono,san Giorgio
Giorno festivo,23 aprile
Cartografia,Cartografia
San Giorgio Canavese,San Giorgio Canavese
San Giorgio Canavese – MappaLocalizzazione del comune di San Giorgio Canavese nella città metropolitana di Torino.,San Giorgio Canavese – MappaLocalizzazione del comune di San Giorgio Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
