Strambinello comune,Strambinello comune.1
,
Strambinello – Veduta,Strambinello – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Gualtiero Onore (lista civica Comune amico) dal 10-6-2024 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°25′23.01″N 7°46′06.83″E
Altitudine,356 m s.l.m.
Superficie,"2,21 km²"
Abitanti,237[1] (30-11-2025)
Densità,"107,24 ab./km²"
Comuni confinanti,"Baldissero Canavese, Quagliuzzo, Torre Canavese, Vistrorio"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001268
Cod. catastale,I969
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 680 GG[3]"
Nome abitanti,strambinellesi
Patrono,sant'Ilario
Giorno festivo,13 gennaio
Cartografia,Cartografia
Strambinello,Strambinello
Strambinello – MappaLocalizzazione del Comune di Strambinello nella città metropolitana di Torino.,Strambinello – MappaLocalizzazione del Comune di Strambinello nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
