Cesana Torinese comune,Cesana Torinese comune.1
(IT) Comune di Cesana Torinese,(IT) Comune di Cesana Torinese
,
Cesana Torinese – VedutaPanorama di Cesana verso il Colle del Monginevro,Cesana Torinese – VedutaPanorama di Cesana verso il Colle del Monginevro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Daniele Mazzoleni (lista civica) dal 10-6-2024
Territorio,Territorio
Coordinate,44°57′08.79″N 6°47′26.42″E
Altitudine,1 354 m s.l.m.
Superficie,"121,7 km²"
Abitanti,889[1] (30-11-2025)
Densità,"7,3 ab./km²"
Frazioni,"Bousson, Champlas Seguin, Désèrtes, Fenils, Mollières, Pra Claud, Rhuilles, San Sicario Alto, San Sicario Borgo, Solomiac, Thures[2]"
Comuni confinanti,"Abriès (FR-05), Cervières (FR-05), Claviere, Montgenèvre (FR-05), Névache (FR-05), Oulx, Sauze di Cesana, Sestriere"
Altre informazioni,Altre informazioni
Cod. postale,10054
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001074
Cod. catastale,C564
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 385 GG[4]"
Nome abitanti,cesanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Cesana Torinese,Cesana Torinese
Cesana Torinese – MappaLocalizzazione del comune di Cesana Torinese nella città metropolitana di Torino.,Cesana Torinese – MappaLocalizzazione del comune di Cesana Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
