San Germano Chisone comune,San Germano Chisone comune.1
,
San Germano Chisone – Veduta,San Germano Chisone – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Flavio Reynaud (lista civica San Germano attiva) dal 10-06-2024
Territorio,Territorio
Coordinate,44°53′54.78″N 7°14′28.23″E
Altitudine,486 m s.l.m.
Superficie,"15,86 km²"
Abitanti,1 686[1] (30-11-2025)
Densità,"106,31 ab./km²"
Comuni confinanti,"Angrogna, Inverso Pinasca, Porte, Pramollo, Prarostino, San Secondo di Pinerolo, Villar Perosa"
Altre informazioni,Altre informazioni
Cod. postale,10065
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001242
Cod. catastale,H862
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 083 GG[3]"
Nome abitanti,sangermanesi
Patrono,san Germano Vescovo di Auxerre
Cartografia,Cartografia
San Germano Chisone,San Germano Chisone
San Germano Chisone – MappaLocalizzazione del comune di San Germano Chisone nella città metropolitana di Torino.,San Germano Chisone – MappaLocalizzazione del comune di San Germano Chisone nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
