Balme comune,Balme comune.1
,
"Balme – VedutaBalme, sullo sfondo la Bessanese","Balme – VedutaBalme, sullo sfondo la Bessanese"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alberto Scatolero (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°18′09.02″N 7°12′55.56″E
Altitudine,1 432 m s.l.m.
Superficie,"62,71 km²"
Abitanti,97[1] (30-11-2025)
Densità,"1,55 ab./km²"
Frazioni,"Chialambertetto, Molette, Pian della Mussa, Molera, Villaggio Albaron"
Comuni confinanti,"Ala di Stura, Bessans (FR-73), Bonneval-sur-Arc (FR-73), Groscavallo, Lemie, Usseglio"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001019
Cod. catastale,A599
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 4 502 GG[3]"
Nome abitanti,balmesi
Patrono,Santissima Trinità
Giorno festivo,prima domenica dopo la Pentecoste
Cartografia,Cartografia
Balme,Balme
Balme – MappaLocalizzazione del comune di Balme nella città metropolitana di Torino,Balme – MappaLocalizzazione del comune di Balme nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
