Sestriere comune,Sestriere comune.1
,
Sestriere – VedutaVista di Sestriere e delle montagne circostanti in estate,Sestriere – VedutaVista di Sestriere e delle montagne circostanti in estate
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giovanni Cesare Poncet (lista civica) dal 21-9-2020
Territorio,Territorio
Coordinate,44°57′29.61″N 6°52′43.77″E
Altitudine,2 035 (min 1 540 - max 3 280) m s.l.m.
Superficie,"25,92 km²"
Abitanti,892[1] (30-11-2025)
Densità,"34,41 ab./km²"
Frazioni,"Sestriere Colle, Sestriere Borgata, Champlas du Col, Champlas Janvier[2]"
Comuni confinanti,"Cesana Torinese, Oulx, Pragelato, Sauze di Cesana, Sauze d'Oulx"
Altre informazioni,Altre informazioni
Cod. postale,10058
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001263
Cod. catastale,I692
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 5 165 GG[4]"
Nome abitanti,sestrieresi
Patrono,sant'Edoardo
Giorno festivo,13 ottobre
Cartografia,Cartografia
Sestriere,Sestriere
Sestriere – MappaLocalizzazione del comune di Sestriere nella città metropolitana di Torino.,Sestriere – MappaLocalizzazione del comune di Sestriere nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
