Marentino comune,Marentino comune.1
,
Marentino – VedutaPanorama del paese,Marentino – VedutaPanorama del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Berardo (lista civica) dal 13-6-2022
Territorio,Territorio
Coordinate,45°03′28.92″N 7°52′28.64″E
Altitudine,383 m s.l.m.
Superficie,"11,26 km²"
Abitanti,1 267[1] (30-11-2025)
Densità,"112,52 ab./km²"
Frazioni,"Avuglione, Monplaisir, Vernone"
Comuni confinanti,"Andezeno, Arignano, Moncucco Torinese (AT), Montaldo Torinese, Sciolze"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001144
Cod. catastale,E941
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 928 GG[3]"
Nome abitanti,marentinesi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Marentino,Marentino
Marentino – MappaLocalizzazione del comune di Marentino nella città metropolitana di Torino.,Marentino – MappaLocalizzazione del comune di Marentino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
