Montanaro comune,Montanaro comune.1
,
"Montanaro – VedutaCampanile del Vittone, visto dal centro storico di Montanaro","Montanaro – VedutaCampanile del Vittone, visto dal centro storico di Montanaro"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Antonino Careri (lista civica) dal 9-6-2024
Territorio,Territorio
Coordinate,45°14′00.79″N 7°51′11.96″E
Altitudine,302 m s.l.m.
Superficie,"20,9 km²"
Abitanti,4 986[1] (30-11-2025)
Densità,"238,56 ab./km²"
Comuni confinanti,"Caluso, Chivasso, Foglizzo, San Benigno Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10017
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001161
Cod. catastale,F422
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 667 GG[3]"
Nome abitanti,montanaresi
Patrono,Assunzione di Maria
Giorno festivo,15 agosto
Cartografia,Cartografia
Montanaro,Montanaro
Montanaro – MappaLocalizzazione del comune di Montanaro nella città metropolitana di Torino.,Montanaro – MappaLocalizzazione del comune di Montanaro nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
