Borgofranco d'Ivrea comune,Borgofranco d'Ivrea comune.1
,
Borgofranco d'Ivrea – VedutaPalazzo Marini,Borgofranco d'Ivrea – VedutaPalazzo Marini
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Fausto Francisca (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°30′46.3″N 7°51′28.86″E
Altitudine,253 m s.l.m.
Superficie,"13,42 km²"
Abitanti,3 428[1] (30-11-2025)
Densità,"255,44 ab./km²"
Frazioni,"Bajo Dora, Biò, Campagnola, Ivozio, San Germano"
Comuni confinanti,"Andrate, Brosso, Chiaverano, Lessolo, Montalto Dora, Nomaglio, Quassolo, Settimo Vittone"
Altre informazioni,Altre informazioni
Cod. postale,10013
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001030
Cod. catastale,B015
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 737 GG[3]"
Nome abitanti,borgofranchesi
Patrono,San Maurizio
Giorno festivo,22 settembre
Cartografia,Cartografia
Borgofranco d'Ivrea,Borgofranco d'Ivrea
Borgofranco d'Ivrea – MappaLocalizzazione del comune di Borgofranco d'Ivrea nella città metropolitana di Torino.,Borgofranco d'Ivrea – MappaLocalizzazione del comune di Borgofranco d'Ivrea nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
