Susa comune,Susa comune.1
,
Susa – VedutaPanorama del centro storico dal campanile di San Giusto,Susa – VedutaPanorama del centro storico dal campanile di San Giusto
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Pier Giuseppe Genovese (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°08′N 7°03′E
Altitudine,503 (min 430 - max 705) m s.l.m.
Superficie,"10,99 km²"
Abitanti,5 781[1] (30-11-2025)
Densità,"526,02 ab./km²"
Frazioni,"Castelpietra, Coldimosso, San Giuliano, Traduerivi"
Comuni confinanti,"Bussoleno, Giaglione, Gravere, Mattie, Meana di Susa, Mompantero, Venaus"
Altre informazioni,Altre informazioni
Cod. postale,10059
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001270
Cod. catastale,L013
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 108 GG[3]"
Nome abitanti,segusini
Patrono,Nostra Signora della Neve
Giorno festivo,5 agosto
Soprannome,Gioiello delle Alpi Cozie
Motto,In flammis probatus amor
Cartografia,Cartografia
Susa,Susa
Susa – MappaLocalizzazione del comune di Susa nella città metropolitana di Torino.,Susa – MappaLocalizzazione del comune di Susa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
