Carignano comune,Carignano comune.1
,
Carignano – VedutaDuomo dei Santi Giovanni Battista e Remigio,Carignano – VedutaDuomo dei Santi Giovanni Battista e Remigio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Giorgio Albertino (lista civica Insieme per Carignano) dal 2016
Territorio,Territorio
Coordinate,44°54′24.99″N 7°40′23.61″E
Altitudine,235 m s.l.m.
Superficie,"50,68 km²"
Abitanti,9 246[1] (30-11-2025)
Densità,"182,44 ab./km²"
Frazioni,"Balbo, Barra di Ferro[2], Brassi, Brillante, Campagnino, Ceretto, Gorrea, Tetti Bagnolo, Tetti Faule, Tetti Peretti e Tetti Pautasso, Gorra e Regione Olmi, Vallinotto"
Comuni confinanti,"Carmagnola, Castagnole Piemonte, La Loggia, Lombriasco, Moncalieri, Osasio, Piobesi Torinese, Villastellone, Vinovo"
Altre informazioni,Altre informazioni
Cod. postale,10041
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001058
Cod. catastale,B777
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 578 GG[4]"
Nome abitanti,carignanesi
Patrono,san Remigio di Reims
Giorno festivo,ultima domenica di settembre
Motto,(LA) Hinc Fides
Cartografia,Cartografia
Carignano,Carignano
Carignano – MappaLocalizzazione del comune di Carignano nella città metropolitana di Torino.,Carignano – MappaLocalizzazione del comune di Carignano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
