Montalto Dora comune,Montalto Dora comune.1
,
Montalto Dora – VedutaPanorama di Montalto Dora dal castello,Montalto Dora – VedutaPanorama di Montalto Dora dal castello
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Renzo Galletto (lista civica Progettiamo insieme il futuro) dal 27-5-2019
Territorio,Territorio
Coordinate,45°29′26.73″N 7°51′46.14″E
Altitudine,252 (min 243 - max 521) m s.l.m.
Superficie,"7,36 km²"
Abitanti,3 306[1] (30-11-2025)
Densità,"449,18 ab./km²"
Comuni confinanti,"Borgofranco d'Ivrea, Chiaverano, Fiorano Canavese, Ivrea, Lessolo"
Altre informazioni,Altre informazioni
Cod. postale,10016
Prefisso,0125
Fuso orario,UTC+1
Codice ISTAT,001160
Cod. catastale,F420
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 728 GG[3]"
Nome abitanti,montaltesi
Patrono,sant'Eusebio
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Montalto Dora,Montalto Dora
Montalto Dora – MappaLocalizzazione del comune di Montalto Dora nella città metropolitana di Torino,Montalto Dora – MappaLocalizzazione del comune di Montalto Dora nella città metropolitana di Torino
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
