Pessinetto comune,Pessinetto comune.1
,
Pessinetto – VedutaVista dal Monte Crestà,Pessinetto – VedutaVista dal Monte Crestà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Chiara Tirelli dall'11-06-2024
Territorio,Territorio
Coordinate,45°17′20.73″N 7°24′14.98″E
Altitudine,600 m s.l.m.
Superficie,"5,35 km²"
Abitanti,600[1] (30-11-2025)
Densità,"112,15 ab./km²"
Frazioni,"Gisola, Losa, Mombresto, Pessinetto Fuori, Sant'Ignazio, Tortore"
Comuni confinanti,"Ceres, Germagnano, Lanzo Torinese, Mezzenile, Monastero di Lanzo, Traves"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001188
Cod. catastale,G505
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 310 GG[3]"
Nome abitanti,pessinettesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Pessinetto,Pessinetto
Pessinetto – MappaLocalizzazione del comune di Pessinetto nella città metropolitana di Torino.,Pessinetto – MappaLocalizzazione del comune di Pessinetto nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
