Druento comune,Druento comune.1
,
Druento – VedutaIl municipio,Druento – VedutaIl municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Carlo Vietti (Insieme per Druento) dal 2019
Territorio,Territorio
Coordinate,45°08′05.09″N 7°34′35.82″E
Altitudine,285 m s.l.m.
Superficie,"27,54 km²"
Abitanti,8 930[1] (30-11-2025)
Densità,"324,26 ab./km²"
Comuni confinanti,"Collegno, Fiano, La Cassa, Pianezza, Robassomero, San Gillio, Venaria Reale"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001099
Cod. catastale,D373
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 781 GG[3]"
Nome abitanti,druentini
Patrono,Beata Vergine del santo Rosario
Giorno festivo,2 ottobre
Cartografia,Cartografia
Druento,Druento
Druento – MappaLocalizzazione del comune di Druento nella città metropolitana di Torino.,Druento – MappaLocalizzazione del comune di Druento nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
