Cavour comune,Cavour comune.1
,
Cavour – VedutaIl comune visto dalla sua rocca.,Cavour – VedutaIl comune visto dalla sua rocca.
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sergio Paschetta (Cavour impegno comune) dal 27-5-2019
Territorio,Territorio
Coordinate,44°47′07.8″N 7°22′25.83″E
Altitudine,300 (min 265 - max 462) m s.l.m.
Superficie,"48,96 km²"
Abitanti,5 386[1] (30-11-2025)
Densità,"110,01 ab./km²"
Frazioni,"Babano, Cappella del Bosco, Castellani-Vacci, Castellazzo, Cursaglie (detta anche Cappella Nuova), Gemerello, Malano, San Giacomo, San Michele, Sant'Agostino, Sant'Anna, Sant'Antonio, Zucchea"
Comuni confinanti,"Bagnolo Piemonte (CN), Barge (CN), Bibiana, Bricherasio, Campiglione-Fenile, Garzigliana, Macello, Vigone, Villafranca Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10061
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001070
Cod. catastale,C404
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 723 GG[3]"
Nome abitanti,cavouresi
Patrono,san Lorenzo
Giorno festivo,prima domenica di agosto
Cartografia,Cartografia
Cavour,Cavour
Cavour – MappaLocalizzazione del comune di Cavour nella città metropolitana di Torino.,Cavour – MappaLocalizzazione del comune di Cavour nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
