Pancalieri comune,Pancalieri comune.1
,
Pancalieri – VedutaAntico Mulino,Pancalieri – VedutaAntico Mulino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Piero Giovanni Paletto (lista civica Bene Comune) dal 10-6-2024
Territorio,Territorio
Coordinate,44°50′00.39″N 7°35′09.33″E
Altitudine,243[1] m s.l.m.
Superficie,"15,89 km²"
Abitanti,1 940[2] (30-11-2025)
Densità,"122,09 ab./km²"
Frazioni,"Benna, Cascinassa, Cascinetta, Castel Rainero, Festa, Fontane, Malpensata, Motta, Porto Natante sul Po, Rimonda."
Comuni confinanti,"Casalgrasso (CN), Faule (CN), Lombriasco, Osasio, Polonghera (CN), Vigone, Villafranca Piemonte, Virle Piemonte"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001178
Cod. catastale,G303
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 618 GG[4]"
Nome abitanti,pancalieresi
Patrono,san Nicola
Giorno festivo,6 dicembre
Soprannome,Il paese della Menta
Cartografia,Cartografia
Pancalieri,Pancalieri
Pancalieri – MappaLocalizzazione del comune di Pancalieri nella città metropolitana di Torino.,Pancalieri – MappaLocalizzazione del comune di Pancalieri nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
