Collegno comune,Collegno comune.1
,
Collegno – VedutaLavanderia a Vapore nel Parco Generale Dalla Chiesa,Collegno – VedutaLavanderia a Vapore nel Parco Generale Dalla Chiesa
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Matteo Cavallone (PD) dal 10-06-2024
Territorio,Territorio
Coordinate,45°04′39.17″N 7°34′20.73″E
Altitudine,302 m s.l.m.
Superficie,"18,1 km²"
Abitanti,47 598[1] (30-11-2025)
Densità,"2 629,72 ab./km²"
Frazioni,"Borgata Paradiso, Ricovero, Savonera[2], Stazionetta"
Comuni confinanti,"Alpignano, Druento, Grugliasco, Pianezza, Rivoli, Torino, Venaria Reale"
Altre informazioni,Altre informazioni
Cod. postale,10093
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001090
Cod. catastale,C860
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 646 GG[4]"
Nome abitanti,collegnesi
Patrono,san Lorenzo
Giorno festivo,terza domenica di luglio
Cartografia,Cartografia
Collegno,Collegno
Collegno – MappaLocalizzazione del comune di Collegno nella città metropolitana di Torino.,Collegno – MappaLocalizzazione del comune di Collegno nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
