Oglianico comune,Oglianico comune.1
,
Oglianico – VedutaLa torre- porta dotata di un ponte levatoio,Oglianico – VedutaLa torre- porta dotata di un ponte levatoio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Domenico Lorenzo Rolando (lista civica Oglianico il paese che vorrei) dal 09-6-2024
Territorio,Territorio
Coordinate,45°20′33.19″N 7°41′37.38″E
Altitudine,326 m s.l.m.
Superficie,"6,3 km²"
Abitanti,1 419[1] (30-11-2025)
Densità,"225,24 ab./km²"
Frazioni,"Borgata San Grato, San Francesco Benne"
Comuni confinanti,"Busano, Favria, Front, Rivarolo Canavese, Rivarossa, Salassa, San Ponso"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001170
Cod. catastale,G010
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 633 GG[3]"
Nome abitanti,oglianicesi
Patrono,san Feliciano
Cartografia,Cartografia
Oglianico,Oglianico
Oglianico – MappaLocalizzazione del comune di Oglianico nella città metropolitana di Torino.,Oglianico – MappaLocalizzazione del comune di Oglianico nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
