Piscina comune,Piscina comune.1
,
Piscina – VedutaVeduta dall'alto del comune di Piscina,Piscina – VedutaVeduta dall'alto del comune di Piscina
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Cristiano Favaro (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,44°55′09.99″N 7°25′34.36″E
Altitudine,288 m s.l.m.
Superficie,"9,9 km²"
Abitanti,3 288[1] (30-11-2025)
Densità,"332,12 ab./km²"
Frazioni,"Baudi, Bruera, Calvetti, Casevecchie, Crotti, Gabellieri, Gastaldi, Martini"
Comuni confinanti,"Airasca, Cumiana, Frossasco, Pinerolo, Scalenghe"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001195
Cod. catastale,G705
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 682 GG[3]"
Nome abitanti,piscinesi
Patrono,san Grato[4]
Cartografia,Cartografia
Piscina,Piscina
Piscina – MappaLocalizzazione del comune di Piscina nella città metropolitana di Torino.,Piscina – MappaLocalizzazione del comune di Piscina nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
