Macello comune,Macello comune.1
,
Macello – VedutaIl Municipio,Macello – VedutaIl Municipio
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Enrico Scalerandi (lista civica Viviamo Macello) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,44°51′04.1″N 7°23′52.87″E
Altitudine,301 m s.l.m.
Superficie,"14,14 km²"
Abitanti,1 179[1] (30-11-2025)
Densità,"83,38 ab./km²"
Comuni confinanti,"Buriasco, Cavour, Garzigliana, Pinerolo, Vigone"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001142
Cod. catastale,E782
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 721 GG[3]"
Nome abitanti,macellesi
Patrono,santa Maria Maddalena
Giorno festivo,22 luglio
Cartografia,Cartografia
Macello,Macello
Macello – MappaLocalizzazione del comune di Macello nella città metropolitana di Torino.,Macello – MappaLocalizzazione del comune di Macello nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
