Grugliasco comune,Grugliasco comune.1
,
Grugliasco – VedutaIl centro storico di Grugliasco,Grugliasco – VedutaIl centro storico di Grugliasco
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Emanuele Gaito (PD) dal 13-6-2022
Territorio,Territorio
Coordinate,45°04′04.97″N 7°34′39.43″E
Altitudine,293[1] m s.l.m.
Superficie,"13,13 km²"
Abitanti,36 432[2] (30-11-2025)
Densità,"2 774,71 ab./km²"
Frazioni,"San Cassiano (San Sebastiano -Ressia), San Francesco-Fornaci (anche detto ""Borgo San Remo""), Santa Maria, ParadisoQuaglia, San Giacomo-Fabbrichetta, Gerbido, Lesna Altri toponimi o località: Certezza, San Vincenzo, Mulino, Pronda, Mandina, Barocchio"
Comuni confinanti,"Collegno, Rivoli, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10095
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001120
Cod. catastale,E216
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 687 GG[4]"
Nome abitanti,grugliaschesi
Patrono,san Rocco
Giorno festivo,31 gennaio
Cartografia,Cartografia
Grugliasco,Grugliasco
Grugliasco – MappaLocalizzazione del comune di Grugliasco nella città metropolitana di Torino.,Grugliasco – MappaLocalizzazione del comune di Grugliasco nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
