Sauze di Cesana comune,Sauze di Cesana comune.1
,
"Sauze di Cesana – VedutaVeduta della frazione di Grangesises; sulla destra, lo Chaberton","Sauze di Cesana – VedutaVeduta della frazione di Grangesises; sulla destra, lo Chaberton"
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Federico Maria Marocco[1] dal 2024
Territorio,Territorio
Coordinate,44°56′N 6°52′E
Altitudine,1 560 m s.l.m.
Superficie,"78,28 km²"
Abitanti,227[2] (30-11-2025)
Densità,"2,9 ab./km²"
Frazioni,"Bessen Bass, Bessen Haut, Grangesises, Rollieres"
Comuni confinanti,"Abriès (FR-05), Cesana Torinese, Pragelato, Prali, Sestriere"
Altre informazioni,Altre informazioni
Cod. postale,10054
Prefisso,0122
Fuso orario,UTC+1
Codice ISTAT,001258
Cod. catastale,I465
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 4 694 GG[4]"
Nome abitanti,sauzini o sausini
Patrono,san Restituto
Giorno festivo,ultima domenica di maggio
Cartografia,Cartografia
Sauze di Cesana,Sauze di Cesana
Sauze di Cesana – MappaLocalizzazione del Comune di Sauze di Cesana nella Provincia di Torino.,Sauze di Cesana – MappaLocalizzazione del Comune di Sauze di Cesana nella Provincia di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
