Pino Torinese comune,Pino Torinese comune.1
,
Pino Torinese – VedutaVeduta,Pino Torinese – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandra Tosi (PD) dal 6-6-2016 (2º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°02′22.37″N 7°46′37.65″E
Altitudine,495 (min 297 - max 631) m s.l.m.
Superficie,"21,82 km²"
Abitanti,8 341[1] (30-11-2025)
Densità,"382,26 ab./km²"
Frazioni,"Cento Croci, Monte Aman, San Felice, Tetti Miglioretti, Valle Ceppi"
Comuni confinanti,"Baldissero Torinese, Cambiano, Chieri, Pecetto Torinese, Torino"
Altre informazioni,Altre informazioni
Cod. postale,10025
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001192
Cod. catastale,G678
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 096 GG[3]"
Nome abitanti,pinesi
Patrono,sant'Andrea Corsini
Giorno festivo,4 febbraio
Motto,AD SIDERA TENDIT
Cartografia,Cartografia
Pino Torinese,Pino Torinese
Pino Torinese – MappaLocalizzazione del comune di Pino Torinese nella città metropolitana di Torino.,Pino Torinese – MappaLocalizzazione del comune di Pino Torinese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
