Villafranca Piemonte comune,Villafranca Piemonte comune.1
,
Villafranca Piemonte – VedutaLa via principale del paese,Villafranca Piemonte – VedutaLa via principale del paese
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Agostino Bottano (lista civica) dal 26-5-2019
Territorio,Territorio
Coordinate,44°47′N 7°30′E
Altitudine,253 m s.l.m.
Superficie,"50,79 km²"
Abitanti,4 586[1] (30-11-2025)
Densità,"90,29 ab./km²"
Frazioni,"Battaglia Davanti, Bussi, Cantogno, Madonna Orti, Mottura, San Giovanni, San Luca, San Michele, San Nicola"
Comuni confinanti,"Barge (CN), Cardè (CN), Cavour, Faule (CN), Moretta (CN), Pancalieri, Vigone"
Altre informazioni,Altre informazioni
Cod. postale,10068
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001300
Cod. catastale,L948
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 620 GG[3]"
Nome abitanti,villafranchesi
Patrono,Angeli Custodi
Giorno festivo,domenica precedente l'ultimo martedì di settembre
Cartografia,Cartografia
Villafranca Piemonte,Villafranca Piemonte
Villafranca Piemonte – MappaLocalizzazione del comune di Villafranca Piemonte nella città metropolitana di Torino.,Villafranca Piemonte – MappaLocalizzazione del comune di Villafranca Piemonte nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
