Lusigliè comune,Lusigliè comune.1
,
Lusigliè – VedutaPiazza don Gillone,Lusigliè – VedutaPiazza don Gillone
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Angelo Marasca (lista civica Rinnovamento partecipazione solidarietà) dal 16-5-2011 (3º mandato dal 4-10-2021)
Territorio,Territorio
Coordinate,45°19′06.24″N 7°45′59.95″E
Altitudine,268 m s.l.m.
Superficie,"5,26 km²"
Abitanti,555[1] (30-11-2025)
Densità,"105,51 ab./km²"
Comuni confinanti,"Ciconio, Feletto, Rivarolo Canavese, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001141
Cod. catastale,E763
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 661 GG[3]"
Nome abitanti,lusigliesi
Patrono,Madonna del Rosario
Giorno festivo,7 ottobre
Cartografia,Cartografia
Lusigliè,Lusigliè
Lusigliè – MappaLocalizzazione del comune di Lusigliè nella città metropolitana di Torino.,Lusigliè – MappaLocalizzazione del comune di Lusigliè nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
