Verrua Savoia comune,Verrua Savoia comune.1
,
Verrua Savoia – VedutaLa fortezza di Verrua Savoia (anno 2009),Verrua Savoia – VedutaLa fortezza di Verrua Savoia (anno 2009)
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Giuseppe Castelli (lista civica) dal 27-5-2019 (2º mandato dal 10-6-2024)
Territorio,Territorio
Coordinate,45°09′N 8°06′E
Altitudine,287 m s.l.m.
Superficie,"31,94 km²"
Abitanti,1 354[1] (30-11-2025)
Densità,"42,39 ab./km²"
Frazioni,"Bazzoli, Camorano, Campasso, Carbignano, Cascine, Case Cocetti, Casetto, Cervoto, Collegna, Fravagnano, Longagnano, Mezzi, Mompiola, Montaldo, Monticelli, Rivalta, Rocca, Santa Lucia, Sbarrea, Scandolera, Siberia, Sivrasco, Sulpiano, Tabbia, Trucco, Valentino (sede comunale)"
Comuni confinanti,"Brozolo, Brusasco, Crescentino (VC), Moncestino (AL), Odalengo Grande (AL), Robella (AT), Villamiroglio (AL)"
Altre informazioni,Altre informazioni
Cod. postale,10020
Prefisso,0161
Fuso orario,UTC+1
Codice ISTAT,001294
Cod. catastale,L787
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 784 GG[3]"
Nome abitanti,verruesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Verrua Savoia,Verrua Savoia
Verrua Savoia – MappaLocalizzazione del comune di Verrua Savoia nella città metropolitana di Torino.,Verrua Savoia – MappaLocalizzazione del comune di Verrua Savoia nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
