Coazze comune,Coazze comune.1
,
Coazze – VedutaChiesa di Santa Maria del Pino,Coazze – VedutaChiesa di Santa Maria del Pino
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alessandro Oliva (lista civica) dal 10-06-2024
Territorio,Territorio
Coordinate,45°03′07.9″N 7°17′52.45″E
Altitudine,750 (min 600 - max 2 719) m s.l.m.
Superficie,"56,57 km²"
Abitanti,3 369[1] (30-11-2025)
Densità,"59,55 ab./km²"
Frazioni,"Benna, Bosio, Brunetti, Cervelli, Dirotto-Sangonetto, Ferria, Forno, Indiritto, Marini, Marone, Oliva, Rosa, Rosseria, Selvaggio, Tiglietto e Toni"
Comuni confinanti,"Chiusa di San Michele, Giaveno, Perosa Argentina, Roure, San Giorio di Susa, Sant'Antonino di Susa, Vaie, Valgioie, Villar Focchiardo"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001089
Cod. catastale,C803
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 479 GG[3]"
Nome abitanti,coazzesi
Patrono,santa Maria Assunta in Cielo
Giorno festivo,15 agosto
Cartografia,Cartografia
Coazze,Coazze
Coazze – MappaLocalizzazione del comune di Coazze nella città metropolitana di Torino.,Coazze – MappaLocalizzazione del comune di Coazze nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
