Cantoira comune,Cantoira comune.1
,
Cantoira – VedutaPanorama,Cantoira – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Franca Vivenza (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°20′36.06″N 7°22′48.45″E
Altitudine,770 m s.l.m.
Superficie,"23,03 km²"
Abitanti,648[1] (30-11-2025)
Densità,"28,14 ab./km²"
Frazioni,"Balme, Bergognesco, Boschietto, Bruschi, Case Bergiotto, Case Colombo, Case Ghitta, Case Goffo, Case Michiardi, Foieri, La Rocci, Lities, Losa, Piagni, Rivirin, Ru, Trambié, Villa, Vrù"
Comuni confinanti,"Ceres, Chialamberto, Locana, Monastero di Lanzo"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,0123
Fuso orario,UTC+1
Codice ISTAT,001054
Cod. catastale,B637
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 479 GG[3]"
Nome abitanti,cantoiresi
Patrono,santi Pietro e Paolo
Giorno festivo,29 giugno
Cartografia,Cartografia
Cantoira,Cantoira
Cantoira – MappaLocalizzazione del comune di Cantoira nella città metropolitana di Torino.,Cantoira – MappaLocalizzazione del comune di Cantoira nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
