Orbassano comune,Orbassano comune.1
,
Orbassano – VedutaPiazza Umberto I,Orbassano – VedutaPiazza Umberto I
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Cinzia Maria Bosso (Liste civiche + centro-destra)
Territorio,Territorio
Coordinate,45°00′26.15″N 7°32′12.91″E
Altitudine,273 m s.l.m.
Superficie,"22,21 km²"
Abitanti,22 790[1] (30-11-2025)
Densità,"1 026,11 ab./km²"
Frazioni,"Gonzole, Tetti Valfrè"
Comuni confinanti,"Beinasco, Candiolo, Nichelino, None, Rivalta di Torino, Rivoli, Torino, Volvera"
Altre informazioni,Altre informazioni
Cod. postale,10043
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001171
Cod. catastale,G087
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 634 GG[3]"
Nome abitanti,orbassanesi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Orbassano,Orbassano
Orbassano – MappaLocalizzazione del comune di Orbassano nella città metropolitana di Torino.,Orbassano – MappaLocalizzazione del comune di Orbassano nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
