Varisella comune,Varisella comune.1
,
Varisella – VedutaVeduta,Varisella – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Provincia,Città metropolitana di Torino
Amministrazione,Amministrazione
Sindaco,Mariarosa Colombatto (lista civica Insieme per Varisella) dal 26-5-2014
Territorio,Territorio
Coordinate,45°12′36.21″N 7°29′22.01″E
Altitudine,521 m s.l.m.
Superficie,"22,44 km²"
Abitanti,830[1] (30-11-2025)
Densità,"36,99 ab./km²"
Frazioni,"Baratonia, Moncolombone, Ramai"
Comuni confinanti,"Fiano, Givoletto, La Cassa, Val della Torre, Vallo Torinese, Viù"
Altre informazioni,Altre informazioni
Cod. postale,10070
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001289
Cod. catastale,L685
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona F, 3 206 GG[3]"
Nome abitanti,varisellesi
Patrono,santa Marta
Giorno festivo,29 luglio
Cartografia,Cartografia
Varisella,Varisella
Varisella – MappaLocalizzazione del comune di Varisella nella città metropolitana di Torino.,Varisella – MappaLocalizzazione del comune di Varisella nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
