Leinì comune,Leinì comune.1
,
Leinì – VedutaCampanile della chiesa di San Giovanni Battista,Leinì – VedutaCampanile della chiesa di San Giovanni Battista
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luca Torella (PD) dal 24-6-2024
Territorio,Territorio
Coordinate,45°11′04.5″N 7°42′47.78″E
Altitudine,245 m s.l.m.
Superficie,"31,90[1] km²"
Abitanti,16 335[2] (30-11-2025)
Densità,"512,07 ab./km²"
Frazioni,"Auture, Canova, Cascinotta, Castaudia, Centrale Enel, Frati, Fornacino, Grangiotto, Grivetta, Maffei, Montegrappa, Muzio, Pogliani, Pratonuovo, Ranera, Ruffini, Santarosa, Settimo, Siberia, Tedeschi, Torino, Vastamia"
Comuni confinanti,"Caselle Torinese, Lombardore, Mappano, San Francesco al Campo, San Maurizio Canavese, Settimo Torinese, Volpiano"
Altre informazioni,Altre informazioni
Cod. postale,10040
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001130
Cod. catastale,E518
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona E, 2 722 GG[4]"
Nome abitanti,leinicesi[5]
Patrono,san Lorenzo
Giorno festivo,10 agosto
Cartografia,Cartografia
Leinì,Leinì
Leinì – MappaLocalizzazione del comune di Leini nella città metropolitana di Torino.,Leinì – MappaLocalizzazione del comune di Leini nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
