Villar Focchiardo comune,Villar Focchiardo comune.1
,
Villar Focchiardo – Veduta,Villar Focchiardo – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Emilio Stefano Chiaberto (lista civica) dall'8-6-2009 (3º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°07′N 7°14′E
Altitudine,450 (min 338 - max 2 632) m s.l.m.
Superficie,"25,69 km²"
Abitanti,1 943[1] (30-11-2025)
Densità,"75,63 ab./km²"
Comuni confinanti,"Borgone Susa, Coazze, San Didero, San Giorio di Susa, Sant'Antonino di Susa"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001305
Cod. catastale,M007
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 029 GG[3]"
Nome abitanti,villarfocchiardesi
Patrono,santi Cosma e Damiano
Cartografia,Cartografia
Villar Focchiardo,Villar Focchiardo
Villar Focchiardo – MappaLocalizzazione del comune di Villar Focchiardo nella città metropolitana di Torino.,Villar Focchiardo – MappaLocalizzazione del comune di Villar Focchiardo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
