Locana comune,Locana comune.1
,
Locana – VedutaLocana vista dalla strada per Gavie,Locana – VedutaLocana vista dalla strada per Gavie
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Mauro Peruzzo Cornetto (lista civica) dal 27-5-2019
Territorio,Territorio
Coordinate,45°25′03.55″N 7°27′31.73″E
Altitudine,613[1] m s.l.m.
Superficie,"132,52 km²"
Abitanti,1 289[2] (30-11-2025)
Densità,"9,73 ab./km²"
Frazioni,vedi paragrafo specifico
Comuni confinanti,"Cantoira, Chialamberto, Coassolo Torinese, Cogne (AO), Corio, Monastero di Lanzo, Noasca, Ribordone, Ronco Canavese, Sparone"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001134
Cod. catastale,E635
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[3]
Cl. climatica,"zona F, 3 273 GG[4]"
Nome abitanti,locanesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Locana,Locana
Locana – MappaLocalizzazione del comune di Locana nella città metropolitana di Torino.,Locana – MappaLocalizzazione del comune di Locana nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
