Prarostino comune,Prarostino comune.1
Prarostino – Veduta,Prarostino – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luciano Nocera (lista civica) dall'11-6-2024
Territorio,Territorio
Coordinate,44°51′56.85″N 7°16′05.6″E
Altitudine,"738 (min 425 - max 1,325) m s.l.m."
Superficie,"10,51 km²"
Abitanti,1 245[1] (30-11-2025)
Densità,"118,46 ab./km²"
Frazioni,Borgata Gay
Comuni confinanti,"Angrogna, Bricherasio, San Germano Chisone, San Secondo di Pinerolo"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001205
Cod. catastale,G986
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona F, 3 352 GG[3]"
Nome abitanti,prarostinesi
Patrono,san Bartolomeo
Cartografia,Cartografia
Prarostino,Prarostino
Prarostino – MappaLocalizzazione del comune di Prarostino nella città metropolitana di Torino.,Prarostino – MappaLocalizzazione del comune di Prarostino nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
