Lusernetta comune,Lusernetta comune.1
,
Lusernetta – Veduta,Lusernetta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Alex Maurino (lista civica Impegno) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,44°48′11.29″N 7°14′48.18″E
Altitudine,507[1] m s.l.m.
Superficie,"7,04 km²"
Abitanti,505[2] (30-11-2025)
Densità,"71,73 ab./km²"
Frazioni,"Cascina Gerard, Possetti"
Comuni confinanti,"Bibiana, Luserna San Giovanni"
Altre informazioni,Altre informazioni
Cod. postale,10060
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001140
Cod. catastale,E759
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona F, 3 114 GG[4]"
Nome abitanti,lusernettesi
Patrono,sant'Antonio abate
Giorno festivo,17 gennaio
Cartografia,Cartografia
Lusernetta,Lusernetta
Lusernetta – MappaLocalizzazione del comune di Lusernetta nella città metropolitana di Torino.,Lusernetta – MappaLocalizzazione del comune di Lusernetta nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
