Vische comune,Vische comune.1
,
Vische – Veduta,Vische – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Federico Merlo (lista civica) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°20′N 7°57′E
Altitudine,243 m s.l.m.
Superficie,"17,08 km²"
Abitanti,1 207[1] (30-11-2025)
Densità,"70,67 ab./km²"
Frazioni,"Pratoferro, Cafasso, Viscano Inferiore e Superiore, Deserta, Moncucco, Mombello, Ova, Putetto, Luisina, Monessa, Briola, Era."
Comuni confinanti,"Borgomasino, Candia Canavese, Mazzè, Moncrivello (VC), Strambino, Vestignè, Villareggia"
Altre informazioni,Altre informazioni
Cod. postale,10030
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001311
Cod. catastale,M071
Targa,TO
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona E, 2 718 GG[3]"
Nome abitanti,vischesi
Patrono,san Bartolomeo
Giorno festivo,24 agosto
Cartografia,Cartografia
Vische,Vische
Vische – MappaLocalizzazione del comune di Vische nella città metropolitana di Torino.,Vische – MappaLocalizzazione del comune di Vische nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
