Pinerolo comune,Pinerolo comune.1
,
Pinerolo – VedutaPanorama,Pinerolo – VedutaPanorama
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Luca Salvai (liste civiche di centro-sinistra e di sinistra-M5S) dal 5-6-2016 (2º mandato dal 18-10-2021)
Territorio,Territorio
Coordinate,44°53′14.31″N 7°19′55″E
Altitudine,376[1] m s.l.m.
Superficie,"50,34 km²"
Abitanti,35 429[2] (30-11-2025)
Densità,"703,79 ab./km²"
Frazioni,"Abbadia Alpina, Ainana, Avaro-Tron, Bacchiasso, Batur, Baudenasca, Biscornetto, Borgata Colombaio, Borgata Orba, Cascina della Cappella, Cascina Ghiotta, Cascina Gili, Cascina Nuova, Cascina Pol, Case Bianche, Case Nuove, Colletto, Gerbido di Costagrande, Gerbido di Riva, Graniera, Losani, Motta Grossa, Pascaretto, Riauna, Riva, Rubiani, Salera, San Martino, Stazione di Riva, Talucco, Villa Motta Rasini"
Comuni confinanti,"Buriasco, Cantalupa, Cumiana, Frossasco, Garzigliana, Macello, Osasco, Pinasca, Piscina, Porte, Roletto, San Pietro Val Lemina, San Secondo di Pinerolo, Scalenghe"
Altre informazioni,Altre informazioni
Cod. postale,10064
Prefisso,0121
Fuso orario,UTC+1
Codice ISTAT,001191
Cod. catastale,G674
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[3]
Cl. climatica,"zona E, 2 815 GG[4]"
Nome abitanti,pinerolesi
Patrono,san Donato
Giorno festivo,il lunedì dopo l'ultima domenica del mese di agosto
Motto,Dulcis Domino Durissimo Hosti
Cartografia,Cartografia
Pinerolo,Pinerolo
Pinerolo – MappaLocalizzazione del comune di Pinerolo nella città metropolitana di Torino.,Pinerolo – MappaLocalizzazione del comune di Pinerolo nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
