Rivara comune,Rivara comune.1
,
Rivara – VedutaVeduta,Rivara – VedutaVeduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Roberto Andriollo (lista civica Rivara Viva) dal 26-5-2019
Territorio,Territorio
Coordinate,45°19′57.19″N 7°37′58.5″E
Altitudine,392 m s.l.m.
Superficie,"12,58 km²"
Abitanti,2 422[1] (30-11-2025)
Densità,"192,53 ab./km²"
Frazioni,Camagna
Comuni confinanti,"Barbania, Busano, Forno Canavese, Levone, Pertusio, Prascorsano, Pratiglione, San Ponso"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,0124
Fuso orario,UTC+1
Codice ISTAT,001216
Cod. catastale,H338
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 942 GG[3]"
Nome abitanti,rivaresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Rivara,Rivara
Rivara – MappaLocalizzazione del Comune di Rivara nella Provincia di Torino.,Rivara – MappaLocalizzazione del Comune di Rivara nella Provincia di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
