Sant'Antonino di Susa comune,Sant'Antonino di Susa comune.1
,
Sant'Antonino di Susa – VedutaPanorama dal Truc del Serro,Sant'Antonino di Susa – VedutaPanorama dal Truc del Serro
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Andrea Andolfatto (lista civica Unione Democratica per Sant'Antonino) dal 10-06-2024
Territorio,Territorio
Coordinate,45°06′00″N 7°17′00″E
Altitudine,380 (min 374 - max 1 659) m s.l.m.
Superficie,"9,79 km²"
Abitanti,4 059[1] (30-11-2025)
Densità,"414,61 ab./km²"
Frazioni,"Cresto, Mareschi, Vignassa"
Comuni confinanti,"Borgone Susa, Coazze, Condove, Vaie, Villar Focchiardo"
Altre informazioni,Altre informazioni
Cod. postale,10050
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001256
Cod. catastale,I296
Targa,TO
Cl. sismica,zona 3s (sismicità bassa)[2]
Cl. climatica,"zona E, 2 924 GG[3]"
Nome abitanti,santantoninesi
Patrono,sant'Antonino di Apamea
Giorno festivo,primo lunedì di settembre
Cartografia,Cartografia
Sant'Antonino di Susa,Sant'Antonino di Susa
Sant'Antonino di Susa – MappaLocalizzazione del comune di Sant'Antonino di Susa nella città metropolitana di Torino.,Sant'Antonino di Susa – MappaLocalizzazione del comune di Sant'Antonino di Susa nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
