Orio Canavese comune,Orio Canavese comune.1
,
Orio Canavese – VedutaIl paese visto da sud,Orio Canavese – VedutaIl paese visto da sud
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Sara Ponzetti (lista civica) dal 12-6-2022
Territorio,Territorio
Coordinate,45°19′45.32″N 7°51′42.2″E
Altitudine,327 m s.l.m.
Superficie,"7,15 km²"
Abitanti,729[1] (30-11-2025)
Densità,"101,96 ab./km²"
Comuni confinanti,"Barone Canavese, Mercenasco, Montalenghe, San Giorgio Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10010
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001172
Cod. catastale,G109
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 844 GG[3]"
Nome abitanti,oriesi
Patrono,Natività di Maria Vergine
Giorno festivo,8 settembre
Cartografia,Cartografia
Orio Canavese,Orio Canavese
Orio Canavese – MappaLocalizzazione del comune di Orio Canavese nella città metropolitana di Torino.,Orio Canavese – MappaLocalizzazione del comune di Orio Canavese nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
