Bosconero comune,Bosconero comune.1
,
Bosconero – VedutaPiazza Martiri della Libertà,Bosconero – VedutaPiazza Martiri della Libertà
Localizzazione,Localizzazione
Stato,Italia
Regione,Piemonte
Città metropolitana,Torino
Amministrazione,Amministrazione
Sindaco,Paola Forneris (lista civica Insieme per Bosconero) dal 26-5-2014 (2º mandato dal 27-5-2019)
Territorio,Territorio
Coordinate,45°16′03.18″N 7°45′59.76″E
Altitudine,310 m s.l.m.
Superficie,"10,92 km²"
Abitanti,3 039[1] (30-11-2025)
Densità,"278,3 ab./km²"
Frazioni,Mastri
Comuni confinanti,"Feletto, Foglizzo, Lombardore, Rivarolo Canavese, San Benigno Canavese, San Giusto Canavese"
Altre informazioni,Altre informazioni
Cod. postale,10080
Prefisso,011
Fuso orario,UTC+1
Codice ISTAT,001033
Cod. catastale,B075
Targa,TO
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona E, 2 714 GG[3]"
Nome abitanti,bosconeresi
Patrono,san Giovanni Battista
Giorno festivo,24 giugno
Cartografia,Cartografia
Bosconero,Bosconero
Bosconero – MappaLocalizzazione del comune di Bosconero nella città metropolitana di Torino.,Bosconero – MappaLocalizzazione del comune di Bosconero nella città metropolitana di Torino.
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
