Manduria comune,Manduria comune.1
,
Manduria – Veduta,Manduria – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Gregorio Pecoraro (M5S) dal 5-10-2020
Territorio,Territorio
Coordinate,40°24′10″N 17°38′03″E
Altitudine,79 e 79 m s.l.m.
Superficie,"180,41 km²"
Abitanti,29 533[1] (30-11-2025)
Densità,"163,7 ab./km²"
Frazioni,"San Pietro in Bevagna, Torre Colimena, Uggiano Montefusco"
Comuni confinanti,"Avetrana, Erchie (BR), Francavilla Fontana (BR), Maruggio, Oria (BR), Porto Cesareo (LE), Sava"
Altre informazioni,Altre informazioni
Cod. postale,74024
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073012
Cod. catastale,E882
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[2]
Cl. climatica,"zona C, 1 174 GG[3]"
Nome abitanti,manduriani
Patrono,san Gregorio Magno
Giorno festivo,3 settembre
Cartografia,Cartografia
Manduria,Manduria
Manduria – MappaPosizione del comune di Manduria all'interno della provincia di Taranto,Manduria – MappaPosizione del comune di Manduria all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
