Martina Franca comune,Martina Franca comune.1
,
Martina Franca – VedutaMartina Franca vista da Locorotondo,Martina Franca – VedutaMartina Franca vista da Locorotondo
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Gianfranco Palmisano (PD) dal 13-6-2022
Territorio,Territorio
Coordinate,40°42′N 17°20′E
Altitudine,431 m s.l.m.
Superficie,"298,72[1] km²"
Abitanti,46 782[2] (30-11-2025)
Densità,"156,61 ab./km²"
Frazioni,"San Paolo, Monte Fellone, Lamia Vecchia, Specchia Tarantina, Ortolini, Carpari, Gemma, Pergolo, Capitolo, Pianelle, Cappuccini, Papadomenico, Nigri, Motolese, Monte Ilario, Baratta, Monti del Duca, Madonna dell'Arco, Ospedale, Montetulio, Infarinata"
Comuni confinanti,"Alberobello (BA), Locorotondo (BA), Ceglie Messapica (BR), Cisternino (BR), Ostuni (BR), Crispiano, Grottaglie, Villa Castelli (BR), Massafra, Mottola, Taranto"
Altre informazioni,Altre informazioni
Cod. postale,74015
Prefisso,080
Fuso orario,UTC+1
Codice ISTAT,073013
Cod. catastale,E986
Targa,TA
Cl. sismica,zona 4 (sismicità molto bassa)[3]
Cl. climatica,"zona D, 1 844 GG[4]"
Nome abitanti,martinesi
Patrono,"san Martino, santa Comasia"
Giorno festivo,11 novembre
Cartografia,Cartografia
Martina Franca,Martina Franca
Martina Franca – MappaPosizione di Martina Franca all'interno della provincia di Taranto,Martina Franca – MappaPosizione di Martina Franca all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
