Castellaneta comune,Castellaneta comune.1
,
Castellaneta – Veduta,Castellaneta – Veduta
Localizzazione,Localizzazione
Stato,Italia
Regione,Puglia
Provincia,Taranto
Amministrazione,Amministrazione
Sindaco,Gianni Di Pippa (PD) dal 15-5-2023
Territorio,Territorio
Coordinate,40°38′N 16°56′E
Altitudine,245 m s.l.m.
Superficie,"242,32 km²"
Abitanti,15 809[1] (30-11-2025)
Densità,"65,24 ab./km²"
Frazioni,"Gaudella, Castellaneta Marina"
Comuni confinanti,"Ginosa, Gioia del Colle (BA), Laterza, Mottola, Palagianello, Palagiano"
Altre informazioni,Altre informazioni
Cod. postale,74011
Prefisso,099
Fuso orario,UTC+1
Codice ISTAT,073003
Cod. catastale,C136
Targa,TA
Cl. sismica,zona 3 (sismicità bassa)[2]
Cl. climatica,"zona D, 1 534 GG[3]"
Nome abitanti,castellanetani
Patrono,"san Nicola di Bari, san Francesco da Paola (compatrono)"
Giorno festivo,"6 dicembre (san Nicola), 2ª domenica di maggio (san Francesco)"
Cartografia,Cartografia
Castellaneta,Castellaneta
Castellaneta – MappaPosizione del comune di Castellaneta all'interno della provincia di Taranto,Castellaneta – MappaPosizione del comune di Castellaneta all'interno della provincia di Taranto
Sito istituzionale,Sito istituzionale
Modifica dati su Wikidata · Manuale,Modifica dati su Wikidata · Manuale
